layer,effective dimensionality,80% variance,alpha,architecture,task,stdev,kind
c2,57.37638124494379,262.0,0.9587953144709298,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.2
c2,57.37615531267865,262.0,0.9592414112002996,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.2
c2,57.37615531267865,262.0,0.9592414112002996,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.2
c2,57.37708596303254,262.0,0.9605103276024881,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.2
c2,57.37708596303254,262.0,0.9605103276024881,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.2
c2,57.376470803400125,262.0,0.9600270261955424,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.2
c2,66.30187745704464,237.0,0.9978246272368985,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-0.6
c2,66.3030529611566,237.0,0.9985934564076323,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-0.6
c2,66.3030529611566,237.0,0.9985934564076323,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-0.6
c2,66.30183640779242,237.0,0.9984922088350049,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-0.6
c2,66.30183640779242,237.0,0.9984922088350049,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-0.6
c2,66.30199406642461,237.0,0.9975917665405089,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-0.6
c2,46.12151857344374,153.0,1.1263375543623375,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.0
c2,46.12149834233623,153.0,1.125045279481603,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.0
c2,46.12149834233623,153.0,1.125045279481603,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.0
c2,46.12302466465196,153.0,1.1257379398612002,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.0
c2,46.12302466465196,153.0,1.1257379398612002,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.0
c2,46.122724647836954,153.0,1.1259243690445204,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.0
c2,29.352725056131582,98.0,1.2982676377407933,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-1.4
c2,29.352980261230734,98.0,1.2983856895965435,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-1.4
c2,29.352980261230734,98.0,1.2983856895965435,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-1.4
c2,29.35344935177882,98.0,1.2985354013982837,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-1.4
c2,29.35344935177882,98.0,1.2985354013982837,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-1.4
c2,29.353761912554017,98.0,1.2993797067071375,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-1.4
c2,22.86673745224573,82.0,1.4992294724727058,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-2
c2,22.86671556806156,82.0,1.497929805808638,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-2
c2,22.86671556806156,82.0,1.497929805808638,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-2
c2,22.866920374855066,82.0,1.4944098936659356,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-2
c2,22.866920374855066,82.0,1.4944098936659356,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-2
c2,22.867103464367823,82.0,1.5001023416016028,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-2
c2,21.280722464352774,78.0,1.7353958303046613,AtlasNet_seed=0,Eig_varscale=0.1,0.1,a_-3
c2,21.280690734151026,78.0,1.7333788811068815,AtlasNet_seed=0,Eig_varscale=0.1,1.0,a_-3
c2,21.280690734151026,78.0,1.7333788811068815,AtlasNet_seed=0,Eig_varscale=1,0.1,a_-3
c2,21.28076854281238,78.0,1.7336250285013086,AtlasNet_seed=0,Eig_varscale=1,1.0,a_-3
c2,21.28076854281238,78.0,1.7336250285013086,AtlasNet_seed=0,Eig_varscale=10,0.1,a_-3
c2,21.280783808537098,78.0,1.7333116902038426,AtlasNet_seed=0,Eig_varscale=10,1.0,a_-3
