init,effective dimensionality,calculated_alpha
Eig|a_-0.2|v_0.1|stdev_0.1,633.9312051384052,1.4181064208504974
Eig|a_-0.2|v_0.1|stdev_1.0,633.9312051384053,1.4214354092549553
Eig|a_-0.2|v_1|stdev_0.1,633.9312051384053,1.4202445762678713
Eig|a_-0.2|v_1|stdev_1.0,633.9312051384055,1.4181533355000107
Eig|a_-0.2|v_10|stdev_0.1,633.9312051384053,1.4169272519310203
Eig|a_-0.2|v_10|stdev_1.0,633.9312051384054,1.4192824105220505
Eig|a_-0.6|v_0.1|stdev_0.1,253.26466077449345,1.773581405140726
Eig|a_-0.6|v_0.1|stdev_1.0,253.26466077449356,1.7766578686133991
Eig|a_-0.6|v_1|stdev_0.1,253.26466077449342,1.7754834089416447
Eig|a_-0.6|v_1|stdev_1.0,253.2646607744935,1.7768604364813791
Eig|a_-0.6|v_10|stdev_0.1,253.26466077449362,1.7756768868585187
Eig|a_-0.6|v_10|stdev_1.0,253.26466077449342,1.775618255738036
Eig|a_-1.0|v_0.1|stdev_0.1,22.29997417678471,2.167570814918886
Eig|a_-1.0|v_0.1|stdev_1.0,22.299974176784705,2.170350498457309
Eig|a_-1.0|v_1|stdev_0.1,22.299974176784712,2.1712692099500646
Eig|a_-1.0|v_1|stdev_1.0,22.2999741767847,2.170237259628963
Eig|a_-1.0|v_10|stdev_0.1,22.299974176784705,2.1700494331258358
Eig|a_-1.0|v_10|stdev_1.0,22.29997417678472,2.16773400290144
Eig|a_-1.4|v_0.1|stdev_0.1,4.282969493129984,2.4807568334812102
Eig|a_-1.4|v_0.1|stdev_1.0,4.2829694931299835,2.480756833423551
Eig|a_-1.4|v_1|stdev_0.1,4.282969493129986,2.4807568334074817
Eig|a_-1.4|v_1|stdev_1.0,4.2829694931299835,2.4807568333610144
Eig|a_-1.4|v_10|stdev_0.1,4.282969493129983,2.4807568333854606
Eig|a_-1.4|v_10|stdev_1.0,4.282969493129977,2.4807568333753567
Eig|a_-2|v_0.1|stdev_0.1,1.7055145600001758,3.1172241427387553
Eig|a_-2|v_0.1|stdev_1.0,1.7055145600001762,3.118483969156891
Eig|a_-2|v_1|stdev_0.1,1.7055145600001762,3.1182691980321393
Eig|a_-2|v_1|stdev_1.0,1.7055145600001784,3.1147346850959856
Eig|a_-2|v_10|stdev_0.1,1.705514560000177,3.1144886405442525
Eig|a_-2|v_10|stdev_1.0,1.7055145600001766,3.116921349438834
Eig|a_-3|v_0.1|stdev_0.1,1.1494839205456098,4.01788025004269
Eig|a_-3|v_0.1|stdev_1.0,1.1494839205456098,4.012902132143931
Eig|a_-3|v_1|stdev_0.1,1.1494839205456098,4.013052711070096
Eig|a_-3|v_1|stdev_1.0,1.1494839205456084,4.008957996278557
Eig|a_-3|v_10|stdev_0.1,1.1494839205456084,4.007192352631034
Eig|a_-3|v_10|stdev_1.0,1.1494839205456102,4.008738698193275
SVD|a_-0.2|scaled_True,942.8662772064006,0.6789128363638331
SVD|a_-0.2|scaled_False,942.8663086191176,0.6798623261976425
SVD|a_-0.6|scaled_True,327.23511699393976,1.0351731337031753
SVD|a_-0.6|scaled_False,327.235178491306,1.0337778721154116
SVD|a_-1.0|scaled_True,34.08063748432342,1.4531261980580017
SVD|a_-1.0|scaled_False,34.080636059647304,1.4525044709056052
SVD|a_-1.4|scaled_True,6.968999583799557,1.8192692810144173
SVD|a_-1.4|scaled_False,6.969000391310111,1.822158718453178
SVD|a_-2|scaled_True,2.497073994989997,2.2775263044031226
SVD|a_-2|scaled_False,2.4970744853918774,2.277533018065419
SVD|a_-3|scaled_True,1.4202273139082324,3.24577120162609
SVD|a_-3|scaled_False,1.4202268902523179,3.2476766971222517
None,659.9636645639699,0.7003174163783915
